id,pre1Note,pre1F1Note,pre1F2Note,pre1F3Note,pre2Note,pre2F1Note,pre2F2Note,pre2F3Note,T1Q1Note,T1Q1F1Note,T1Q1F2Note,T1Q1F3Note,T1Q2Note,T1Q2F1Note,T1Q2F2Note,T1Q2F3Note,T1Q3Note,T1Q3F1Note,T1Q3F2Note,T1Q3F3Note,T2Q1Note,T2Q1F1Note,T2Q1F2Note,T2Q1F3Note,T2Q2Note,T2Q2F1Note,T2Q2F2Note,T2Q2F3Note,T2Q3Note,T2Q3F1Note,T2Q3F2Note,T2Q3F3Note,post1Note,post1F1Note,post1F2Note,post1F3Note
195967634,"info-high,s-neu",,,,"info-high,s-neu",,,,"info-high,ti-complicated-scenario,t-act,t-imp,s-neg",,,,"info-med,ti-unresponsive/unclickable,t-act,s-neu",,,,"info-low,repeat-cross,t-imp,s-neg",,,,"info-high,i-unexpected-fees,t-act,t-obs,s-pos",,,,"info-none,s-neu",,,,"info-none,s-pos",,,,"info-none,s-neu",,,
196713075,"info-high,s-neu",,,,"info-high,s-neu",,,,"info-high,i-unwanted-sign-up,t-prop,s-neu",,,,"info-none,s-neu",,,,"info-none,repeat-cross,s-neu",,,,"info-low,t-act,s-neu",,,,"info-none,s-neu",,,,"info-none,s-pos",,,,"info-none,s-neu",,,
195982491,"info-high,s-neu",,,,"info-high,s-neu",,,,"info-med,t-act,s-neu",,,,"info-med,i-unwanted-sign-up,s-neu",,,,"info-low,repeat-cross,t-imp,s-neu",,,,"info-high,i-unnoticed-left-out-fields,t-imp,t-act,s-neg",,,,"info-none,repeat-cross,s-neg",,,,"info-none,repeat-cross,s-neg",,,,"info-none,s-neu",,,
195978053,"info-high,s-neu",,,,"info-high,s-neu",,,,"info-med,t-act,t-exp,s-neu",,,,"info-none,repeat-cross,s-neu",,,,"info-none,s-neu",,,,"info-med,t-act,t-exp,s-neu",,,,"info-none,s-neu",,,,"info-none,s-neu",,,,"info-none,s-neu",,,
195976878,"info-high,s-neu",,,,"info-med,s-neu",,,,"info-med,ti-scroll-problems,i-unclickable-product-image,t-imp,t-act,s-neg",,,,"info-low,repeat-cross,s-neu",,,,"info-none,repeat-cross,s-neu",,,,"info-low,t-imp,s-pos",,,,"info-none,s-neu",,,,"info-none,s-neu",,,,"info-none,s-neu",,,
195969062,"info-med,s-neu",,,,"info-high,s-neu",,,,"info-high,i-unwanted-sign-up,t-imp,s-neg",,,,"info-med,i-missing-sign-up-link-in-popup,s-neg",,,,"info-none,repeat-cross,s-neg",,,,"info-med,t-act,s-neu",,,,"info-none,s-pos",,,,"info-high,i-unexpected-fees,s-neg",,,,"info-none,s-neu",,,
195948063,"info-high,s-neu",,,,"info-med,s-neu",,,,"info-high,i-unwanted-sign-up,t-imp,s-neg",,,,"info-none,s-neu",,,,"info-none,s-neu",,,,"info-high,i-unexpected-fees,t-imp,t-act,s-neg",,,,"info-high,i-unwanted-marketing-consent,s-neg",,,,"info-none,repeat-cross,s-neg",,,,"info-none,s-neu",,,
195976041,"info-high,s-neu",,,,"info-high,s-neu",,,,"info-med,i-unwanted-sign-up,ti-unresponsive/unclickable,t-act,t-obs,s-neg",,,,"info-none,repeat-cross,s-neu",,,,"info-low,ti-scroll-problems,s-neg",,,,"info-med,t-act,s-neu",,,,"info-none,s-neu",,,,"info-none,s-neu",,,,"info-none,s-neu",,,
195974782,"info-high,s-neu",,,,"info-high,s-neu",,,,"info-high,i-unwanted-sign-up,t-act,s-neg",,,,"info-none,repeat-cross,s-neu",,,,"info-none,repeat-cross,s-neu",,,,"info-med,t-act,s-pos",,,,"info-none,s-neu",,,,"info-none,s-neu",,,,"info-none,s-neu",,,
195974629,"info-high,s-neu",,,,"info-high,s-neu",,,,"info-med,i-unwanted-sign-up,ti-unresponsive/unclickable,t-act,s-neg",,,,"info-none,repeat-cross,s-neu",,,,"info-none,repeat-cross,s-neu",,,,"info-med,t-act,s-pos",,,,"info-none,s-neu",,,,"info-none,s-neu",,,,"info-med,t-prop,s-neu",,,
