id,variant,time,age,gender,education,income,ecommerceVisits,att1,pre1Q,pre1,pre1F1Q,pre1F1,pre1F2Q,pre1F2,pre1F3Q,pre1F3,pre2Q,pre2,pre2F1Q,pre2F1,pre2F2Q,pre2F2,pre2F3Q,pre2F3,task1,T1Q1Q,T1Q1,T1Q1F1Q,T1Q1F1,T1Q1F2Q,T1Q1F2,T1Q1F3Q,T1Q1F3,T1Q2Q,T1Q2,T1Q2F1Q,T1Q2F1,T1Q2F2Q,T1Q2F2,T1Q2F3Q,T1Q2F3,T1Q3Q,T1Q3,T1Q3F1Q,T1Q3F1,T1Q3F2Q,T1Q3F2,T1Q3F3Q,T1Q3F3,task2,T2Q1Q,T2Q1,T2Q1F1Q,T2Q1F1,T2Q1F2Q,T2Q1F2,T2Q1F3Q,T2Q1F3,T2Q2Q,T2Q2,T2Q2F1Q,T2Q2F1,T2Q2F2Q,T2Q2F2,T2Q2F3Q,T2Q2F3,T2Q3Q,T2Q3,T2Q3F1Q,T2Q3F1,T2Q3F2Q,T2Q3F2,T2Q3F3Q,T2Q3F3,reasonableQuestions,att2,post1Q,post1,post1F1Q,post1F1,post1F2Q,post1F2,post1F3Q,post1F3
195967634,no-ai,13.03788333,18 - 27,Man,Undergraduate degree,"£10,000 - £19,999",Often (once a week or more often),Salad,Describe what products you usually purchase online.,"Electric tools, DIY stuff, timber, sometimes shoes and clothes",,,,,,,Describe the typical steps that you take while looking to purchase something online.,"check if i need it and like it, then what materials were used to produce it, check if my size is available and after that if there are any promo codes or reduced price ",,,,,,,success,Can you describe your experience with placing the cheapest black T-shirt into your shopping cart?,"Slightly too complicated, had to go around instead of being able to just click on an item and place it in the basked. If it happened to me while shopping I would probably leave. ",,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,Not all the items were 'clickable' and required me to browse through the website to seek for those allowing me to go further,,,,,,,Can you describe anything that you did not like while trying to complete the task?,Not clickable pictures with items made me upset,,,,,,,success,Can you describe your experience with purchasing the plain black T-shirt?,"Easy step-by-step process, I decided to check if there is any difference between paying card or cash and how it affects fees. I decided to go with card and ticked the box to receive -10% from my next order. ",,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,Not at all,,,,,,,Can you describe anything that you did not like while trying to complete the task?,All was nice and clear,,,,,,,7,12,Is there anything else that you would like to share?,n/a,,,,,,
196713075,no-ai,6.055733333,28 - 37,Man,Undergraduate degree,"£10,000 - £19,999",Sometimes (once a month),Salad,Describe what products you usually purchase online.,electronic accessories,,,,,,,Describe the typical steps that you take while looking to purchase something online.,"search amazon and ebay to compare prices, choose the item that best fits my needs at a good price",,,,,,,success,Can you describe your experience with placing the cheapest black T-shirt into your shopping cart?,i would have preferred to add everything to the cart before having to make an account,,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,not particularly,,,,,,,Can you describe anything that you did not like while trying to complete the task?,i would have preferred to add everything to the cart before having to make an account,,,,,,,success,Can you describe your experience with purchasing the plain black T-shirt?,i followed the steps on the screen,,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,none,,,,,,,Can you describe anything that you did not like while trying to complete the task?,it was fine,,,,,,,7,30,Is there anything else that you would like to share?,none,,,,,,
195982491,no-ai,11.09243333,28 - 37,Woman,Undergraduate degree,"£30,000 - £39,999",Often (once a week or more often),Salad,Describe what products you usually purchase online.,"Clothes, groceries, toys",,,,,,,Describe the typical steps that you take while looking to purchase something online.,Google what I am looking for. Click on a few of the results and see which I like best or if identical which has the best price. Then purchase.,,,,,,,success,Can you describe your experience with placing the cheapest black T-shirt into your shopping cart?,I clicked on t shirts and filtered by colour. I sorted by price. When I clicked buy I had to sign up.,,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,Having to sign up,,,,,,,Can you describe anything that you did not like while trying to complete the task?,Having to sign up to the website - this would put me off a real life purchase,,,,,,,abandon,Can you describe your experience with purchasing the plain black T-shirt?,It was not good. Everytime I clicked payment it said some fields had been left out but I could not find which ones.,,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,I was unable to proceed as it did not highlight what fields were missing,,,,,,,Can you describe anything that you did not like while trying to complete the task?,That it did not highlight what fields were missing,,,,,,,7,30,Is there anything else that you would like to share?,no,,,,,,
195978053,no-ai,14.7343,58 - 67,Man,Undergraduate degree,"£30,000 - £39,999",Sometimes (once a month),Salad,Describe what products you usually purchase online.,"Gifts, Clothes",,,,,,,Describe the typical steps that you take while looking to purchase something online.,Use google to search for the product/product type; select a site that is selling it; look at the site and read reviews; potentially identify alternate similar products; compare alternatives; potentially look at other suppliers; compare suppliers; decide on what and from whom; make the purchase,,,,,,,success,Can you describe your experience with placing the cheapest black T-shirt into your shopping cart?,"Initially I expected to buy the t-shirt on the home page. It took a minute or two to realise that this was a ""real"" online store and I had to follow all the steps as if I was really buying the product. After that it was quite straightforward to work through the task",,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,Not once I accepted that I had to go through the steps as if it was a real store,,,,,,,Can you describe anything that you did not like while trying to complete the task?,No,,,,,,,success,Can you describe your experience with purchasing the plain black T-shirt?,The transaction was smooth and easy. I accepted that I had to follow all the logical steps and went through entering delivery and billing details and completed the purchase,,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,None,,,,,,,Can you describe anything that you did not like while trying to complete the task?,None,,,,,,,6,30,Is there anything else that you would like to share?,Nothing,,,,,,
195976878,no-ai,8.529133333,58 - 67,Woman,Secondary education,"£10,000 - £19,999",Sometimes (once a month),Spaghetti,Describe what products you usually purchase online.,"jewellery, clothing footwear",,,,,,,Describe the typical steps that you take while looking to purchase something online.,type into my search engine the product i am searching for,,,,,,,abandon,Can you describe your experience with placing the cheapest black T-shirt into your shopping cart?,i had a problem moving the page up to see the choices i clicked on what was infront of me as the black T costing the least but could not get it in the basket,,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,scrolling did not work as i thought it would and i could only look at certain things,,,,,,,Can you describe anything that you did not like while trying to complete the task?,the scrolling,,,,,,,abandon,Can you describe your experience with purchasing the plain black T-shirt?,quite easy,,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,no,,,,,,,Can you describe anything that you did not like while trying to complete the task?,no,,,,,,,5,12,Is there anything else that you would like to share?,no,,,,,,
195969062,no-ai,9.576583333,38 - 47,Man,Technical/community college,"£50,000 - £74,999",Often (once a week or more often),Salad,Describe what products you usually purchase online.,All sorts. It's only really fuel that I travel to a store to buy regularly.,,,,,,,Describe the typical steps that you take while looking to purchase something online.,"Search and research specs, decide exact part (or parts), find best price I can.",,,,,,,success,Can you describe your experience with placing the cheapest black T-shirt into your shopping cart?,Fine. Was a little frustrating that the prompt signup didn't include a link to the signup page.,,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,"See previous. Frustrating that the prompt to signup to continue with buying, didn't include a link to the signup page...",,,,,,,Can you describe anything that you did not like while trying to complete the task?,"Didn't like the fact the the prompt to signup to continue to buy, didn't contain  link to the signup page...",,,,,,,success,Can you describe your experience with purchasing the plain black T-shirt?,Clicked through the checkout process. Was logical enough that I could follow it.,,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,"No, went well.",,,,,,,Can you describe anything that you did not like while trying to complete the task?,"Noticed a payment charge, wouldn't of accepted / continued if that was a real world scenario.",,,,,,,6,30,Is there anything else that you would like to share?,,,,,,,
195948063,no-ai,6.240233333,48 - 57,Woman,High school diploma,"£0 - £9,999",Often (once a week or more often),Salad,Describe what products you usually purchase online.,"clothes, diy bits, yoys, craft stuff",,,,,,,Describe the typical steps that you take while looking to purchase something online.,search for cheapest price and buy,,,,,,,success,Can you describe your experience with placing the cheapest black T-shirt into your shopping cart?,annoyed i had to register before i could even put in cart,,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,none,,,,,,,Can you describe anything that you did not like while trying to complete the task?,nothing,,,,,,,success,Can you describe your experience with purchasing the plain black T-shirt?,"paid by card and was annoyed to find extra fees, annoyed at having to sign up for marketing",,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,"having to sign up for marketing, being charged to use card",,,,,,,Can you describe anything that you did not like while trying to complete the task?,having to sign up for emails and being charged for using a card,,,,,,,7,12,Is there anything else that you would like to share?,no,,,,,,
195976041,no-ai,9.665466667,48 - 57,Woman,Undergraduate degree,"£30,000 - £39,999",Often (once a week or more often),Salad,Describe what products you usually purchase online.,"Clothes, books, furniture, groceries, theatre and cinema tickets",,,,,,,Describe the typical steps that you take while looking to purchase something online.,If it's a large item I'd look for a price comparison website. Or if it's a particular brand I'd search for them and see if there's a sale or vouchers I can apply to my purchase.,,,,,,,abandon,Can you describe your experience with placing the cheapest black T-shirt into your shopping cart?,I clicked on the t-shirt valued at $32 but I couldn't click on the shopping cart. The site greyed out and the shopping cart icon was unresponsive.,,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,"Yes, the shopping cart icon didn't respond when I clicked it. ",,,,,,,Can you describe anything that you did not like while trying to complete the task?,There was no scroll bar down the side and I had to navigate using the direction buttons on my keyboard,,,,,,,abandon,Can you describe your experience with purchasing the plain black T-shirt?,I was prompted to continue shopping to get free delivery. I declined and proceeded to payment where I filled in teh details and tried to make payment,,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,None,,,,,,,Can you describe anything that you did not like while trying to complete the task?,No,,,,,,,7,30,Is there anything else that you would like to share?,No,,,,,,
195974782,no-ai,7.738066667,18 - 27,Man,Technical/community college,"£20,000 - £29,999",Sporadically (less often),Salad,Describe what products you usually purchase online.,I usually purchase clothing items,,,,,,,Describe the typical steps that you take while looking to purchase something online.,I always check too see what items are in the sale to see if i can get any good deals. once looking at the sale items i normally sort prices in ascending order.,,,,,,,abandon,Can you describe your experience with placing the cheapest black T-shirt into your shopping cart?,It wouldn't let me place the item in the shopping cart as it would ask me to create an account first.,,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,see previous answer,,,,,,,Can you describe anything that you did not like while trying to complete the task?,I couldn't add the item to the basket,,,,,,,success,Can you describe your experience with purchasing the plain black T-shirt?,"It went well, i paid by card and had it delivered to the correct address",,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,no challanges,,,,,,,Can you describe anything that you did not like while trying to complete the task?,n/a,,,,,,,6,30,Is there anything else that you would like to share?,n/a,,,,,,
195974629,no-ai,23.64626667,18 - 27,Woman,Undergraduate degree,"£10,000 - £19,999",Often (once a week or more often),Salad,Describe what products you usually purchase online.,"clothes ,shoes ,hair .",,,,,,,Describe the typical steps that you take while looking to purchase something online.,"first of all log in to the websites
click on the search bar 
input what you want to search
after  input check if there is a promo or discount available
",,,,,,,abandon,Can you describe your experience with placing the cheapest black T-shirt into your shopping cart?,i tried adding it to cart but it did not,,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,clicking not available,,,,,,,Can you describe anything that you did not like while trying to complete the task?,clicks didnt work,,,,,,,success,Can you describe your experience with purchasing the plain black T-shirt?,"it went well  and purchasing was smooth
checked out
added billing address
added card information
purchased",,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,"No challenges
",,,,,,,Can you describe anything that you did not like while trying to complete the task?,nothing,,,,,,,6,30,Is there anything else that you would like to share?,you should have asked the buyer how did they feel after purchasing,,,,,,
